
Minimum time:  301	(0.109767 ms)

Test #		Time
478:		339	(0.123624 ms)
479:		344	(0.125447 ms)
480:		357	(0.130188 ms)
481:		306	(0.11159 ms)
482:		309	(0.112684 ms)
483:		318	(0.115966 ms)
484:		322	(0.117425 ms)
485:		313	(0.114143 ms)
486:		313	(0.114143 ms)
487:		315	(0.114872 ms)
488:		322	(0.117425 ms)
489:		320	(0.116695 ms)
490:		310	(0.113049 ms)
491:		317	(0.115601 ms)
492:		304	(0.110861 ms)
493:		321	(0.11706 ms)
494:		316	(0.115237 ms)
495:		306	(0.11159 ms)
496:		305	(0.111225 ms)
497:		427	(0.155715 ms)
498:		312	(0.113778 ms)
499:		305	(0.111225 ms)
500:		318	(0.115966 ms)
501:		317	(0.115601 ms)
502:		305	(0.111225 ms)
503:		316	(0.115237 ms)
504:		312	(0.113778 ms)
505:		306	(0.11159 ms)
506:		303	(0.110496 ms)
507:		304	(0.110861 ms)
508:		314	(0.114507 ms)
509:		318	(0.115966 ms)
510:		309	(0.112684 ms)
511:		316	(0.115237 ms)
512:		316	(0.115237 ms)
513:		314	(0.114507 ms)
514:		383	(0.13967 ms)
515:		373	(0.136023 ms)
516:		358	(0.130553 ms)
517:		315	(0.114872 ms)
518:		311	(0.113413 ms)
519:		316	(0.115237 ms)
520:		319	(0.116331 ms)
521:		319	(0.116331 ms)
522:		311	(0.113413 ms)
523:		315	(0.114872 ms)
524:		303	(0.110496 ms)
525:		317	(0.115601 ms)
526:		316	(0.115237 ms)
527:		534	(0.194735 ms)
528:		426	(0.155351 ms)
529:		414	(0.150975 ms)
530:		455	(0.165926 ms)
531:		338	(0.123259 ms)
532:		333	(0.121436 ms)
533:		334	(0.121801 ms)
534:		425	(0.154986 ms)
535:		325	(0.118519 ms)
536:		314	(0.114507 ms)
537:		312	(0.113778 ms)
538:		430	(0.156809 ms)
539:		309	(0.112684 ms)
540:		324	(0.118154 ms)
541:		307	(0.111955 ms)
542:		512	(0.186712 ms)
543:		318	(0.115966 ms)
544:		317	(0.115601 ms)
545:		420	(0.153163 ms)
546:		318	(0.115966 ms)
547:		314	(0.114507 ms)
548:		314	(0.114507 ms)
549:		376	(0.137117 ms)
550:		369	(0.134564 ms)
551:		316	(0.115237 ms)
552:		307	(0.111955 ms)
553:		373	(0.136023 ms)
554:		362	(0.132012 ms)
555:		312	(0.113778 ms)
556:		319	(0.116331 ms)
557:		366	(0.13347 ms)
558:		428	(0.15608 ms)
559:		316	(0.115237 ms)
560:		306	(0.11159 ms)
561:		413	(0.15061 ms)
562:		312	(0.113778 ms)
563:		306	(0.11159 ms)
564:		312	(0.113778 ms)
565:		377	(0.137482 ms)
566:		354	(0.129094 ms)
567:		314	(0.114507 ms)
568:		306	(0.11159 ms)
569:		314	(0.114507 ms)
570:		418	(0.152433 ms)
571:		305	(0.111225 ms)
572:		315	(0.114872 ms)
573:		315	(0.114872 ms)
574:		431	(0.157174 ms)
575:		339	(0.123624 ms)
576:		346	(0.126177 ms)
577:		414	(0.150975 ms)
578:		319	(0.116331 ms)
579:		319	(0.116331 ms)
580:		316	(0.115237 ms)
581:		374	(0.136388 ms)
582:		367	(0.133835 ms)
583:		315	(0.114872 ms)
584:		315	(0.114872 ms)
585:		374	(0.136388 ms)
586:		363	(0.132376 ms)
587:		318	(0.115966 ms)
588:		315	(0.114872 ms)
589:		368	(0.1342 ms)
590:		365	(0.133106 ms)
591:		317	(0.115601 ms)
592:		316	(0.115237 ms)
593:		362	(0.132012 ms)
